,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
153,"Dos Oruguitas","Sebastian Yatra",30959,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
154,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,30955,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
155,"Yeah! (feat. Lil Jon & Ludacris)",Usher,30951,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX
156,"The Hills","The Weeknd",30879,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
157,Shallow,"Lady Gaga",30834,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
158,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",30785,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
159,"Die For You","The Weeknd",30756,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
160,"Straight To It (feat. Fivio Foreign)","King Von",30718,https://open.spotify.com/track/4RaV9tFFV7R04lglRhgg5O
161,HUMBLE.,"Kendrick Lamar",30659,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
162,"Alien Blues",Vundabar,30554,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
163,Promiscuous,"Nelly Furtado",30538,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
164,"Dancing Feet (feat. DNCE)",Kygo,30534,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
165,"this is what falling in love feels like",JVKE,30476,https://open.spotify.com/track/4UG2Fm0E98LhE2dlNxiAXx
166,"Ginseng Strip 2002","Yung Lean",30264,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
167,"Money Trees","Kendrick Lamar",30188,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
168,"Low (feat. T-Pain)","Flo Rida",30186,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J
169,"All of Me","John Legend",30097,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
170,"20 Min","Lil Uzi Vert",29997,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
171,"Party In The U.S.A.","Miley Cyrus",29971,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
172,"Hrs and Hrs","Muni Long",29926,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
173,"Smells Like Teen Spirit - Remastered",Nirvana,29899,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
174,"Say You Won't Let Go","James Arthur",29876,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
175,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",29836,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
176,"Ms. Jackson",Outkast,29740,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV
177,"Wake Me Up",Avicii,29687,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
178,"you broke me first","Tate McRae",29671,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
179,Peru,"Fireboy DML",29525,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0
180,"Counting Stars",OneRepublic,29380,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
181,"Mr. Forgettable","David Kushner",29325,https://open.spotify.com/track/39ZVkOVxjG8ypNdUSVNkxU
182,"Space Song","Beach House",29261,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
183,goosebumps,"Travis Scott",29217,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
184,Yellow,Coldplay,29157,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
185,"When I’m Gone (with Katy Perry)",Alesso,29153,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
186,Redbone,"Childish Gambino",29147,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
187,"Ric Flair Drip (with Metro Boomin)",Offset,29094,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
188,"What You Know Bout Love","Pop Smoke",29047,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
189,Stan,Eminem,28980,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
190,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,28970,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
191,"Is There Someone Else?","The Weeknd",28842,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
192,"All Girls Are The Same","Juice WRLD",28815,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
193,"Goosebumps - Remix","Travis Scott",28751,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
194,Thunderstruck,AC/DC,28745,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
195,Bussin,"Nicki Minaj",28731,https://open.spotify.com/track/7lcI4X8RZxK4zIknJcwpBq
196,Starlight,Dave,28644,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
197,"Time of Our Lives",Pitbull,28623,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
198,"Daddy Issues","The Neighbourhood",28610,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
199,"CTRL + ALT + DEL",Rêve,28540,https://open.spotify.com/track/7ElC7VjUNl3oJ20Q5OpEh9
200,"Take Me To Church",Hozier,28529,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
